date,kwwiki (100+),kwwiki (5+),kwwiki (all)
2015/09/22,,3,18
2015/09/23,,3,18
2015/09/24,,3,18
2015/09/25,,4,18
2015/09/26,,4,17
2015/09/27,,4,17
2015/09/28,,4,16
2015/09/29,,4,16
2015/09/30,,2,15
2015/10/01,,2,14
2015/10/02,,2,14
2015/10/03,,2,14
2015/10/04,,2,13
2015/10/05,,2,13
2015/10/06,,2,13
2015/10/07,,2,12
2015/10/08,,2,12
2015/10/09,,2,12
2015/10/10,,2,13
2015/10/11,,1,13
2015/10/12,,1,14
2015/10/13,,1,14
2015/10/14,,1,14
2015/10/15,,1,14
2015/10/16,,1,12
2015/10/17,,1,11
2015/10/18,,2,12
2015/10/19,,2,14
2015/10/20,,2,11
2015/10/21,,2,11
2015/10/22,,2,10
2015/10/23,,2,10
2015/10/24,,2,11
2015/10/25,,2,11
2015/10/26,,3,11
2015/10/27,,3,11
2015/10/28,,3,11
2015/10/29,,3,11
2015/10/30,,3,11
2015/10/31,,3,11
2015/11/01,,3,11
2015/11/02,,3,11
2015/11/03,,3,12
2015/11/04,,3,12
2015/11/05,,4,12
2015/11/06,,4,12
2015/11/07,,4,12
2015/11/08,,4,12
2015/11/09,,4,11
2015/11/10,,5,12
2015/11/11,,5,11
2015/11/12,,4,10
2015/11/13,,4,10
2015/11/14,,4,10
2015/11/15,,4,10
2015/11/16,,4,10
2015/11/17,,4,10
2015/11/18,,4,9
2015/11/19,,4,9
2015/11/20,,4,9
2015/11/21,,4,9
2015/11/22,,4,10
2015/11/23,,3,8
2015/11/24,,3,7
2015/11/25,,3,8
2015/11/26,,3,8
2015/11/27,,3,8
2015/11/28,,2,8
2015/11/29,,2,7
2015/11/30,,2,7
2015/12/01,,2,7
2015/12/02,,2,7
2015/12/03,,2,6
2015/12/04,,2,7
2015/12/05,,2,9
2015/12/06,,2,10
2015/12/07,,1,12
2015/12/08,,1,12
2015/12/09,,1,12
2015/12/10,,,12
2015/12/11,,,12
2015/12/12,,,12
2015/12/13,,,12
2015/12/14,,1,11
2015/12/15,,1,11
2015/12/16,,1,12
2015/12/17,,1,12
2016/01/18,,1,5
2016/01/19,,1,6
2016/01/20,,1,6
2016/01/21,,1,5
2016/01/22,,1,5
2016/01/23,,1,5
2016/01/24,,1,6
2016/01/25,,1,7
2016/01/26,,1,7
2016/01/27,,1,7
2016/01/28,,1,6
2016/01/29,,1,6
2016/01/30,,1,7
2016/01/31,,1,7
2016/02/01,,1,6
2016/02/02,,1,6
2016/02/03,,,7
2016/02/04,,,6
2016/02/05,,,6
2016/02/06,,,6
2016/02/07,,,7
2016/02/08,,,8
2016/02/09,,,8
2016/02/10,,,8
2016/02/11,,,8
2016/02/12,,,8
2016/02/13,,,9
2016/02/14,,,10
2016/02/15,,,10
2016/02/16,,,10
2016/02/17,,,10
2016/02/18,,,10
2016/02/19,,,10
2016/02/20,,,11
2016/02/21,,,11
2016/02/22,,,11
2016/02/23,,,10
2016/02/24,,,10
2016/02/25,,,10
2016/02/26,,,10
2016/02/27,,,10
2016/02/28,,,10
2016/02/29,,,9
2016/03/01,,,11
2016/03/02,,,11
2016/03/03,,,11
2016/03/04,,,11
2016/03/05,,,12
2016/03/06,,,12
2016/03/07,,,13
2016/03/08,,,12
2016/03/09,,,12
2016/03/10,,,12
2016/03/11,,,12
2016/03/12,,,12
2016/03/13,,,12
2016/03/14,,,11
2016/03/15,,,11
2016/03/16,,,10
2016/03/17,,,10
2016/03/18,,,10
2016/03/19,,,9
2016/03/20,,,9
2016/03/21,,,8
2016/03/22,,,9
2016/03/23,,,9
2016/03/24,,,9
2016/03/25,,,7
2016/03/26,,,7
2016/03/27,,,7
2016/03/28,,,7
2016/03/29,,,8
2016/03/30,,,9
2016/03/31,,,8
2016/04/01,,,9
2016/04/02,,,8
2016/04/03,,,8
2016/04/04,,,7
2016/04/05,,,6
2016/04/06,,,6
2016/04/07,,,6
2016/04/08,,1,6
2016/04/09,,1,6
2016/04/10,,1,6
2016/04/11,,1,7
2016/04/12,,1,7
2016/04/13,,1,6
2016/04/14,,1,6
2016/04/15,,1,6
2016/04/16,,1,8
2016/04/17,,1,9
2016/04/18,,1,9
2016/04/19,,1,9
2016/04/20,,1,9
2016/04/21,,1,9
2016/04/22,,1,10
2016/04/23,,1,10
2016/04/24,,1,10
2016/04/25,,1,9
2016/04/26,,1,9
2016/04/27,,1,9
2016/04/28,,1,8
2016/04/29,,1,9
2016/04/30,,1,9
2016/05/01,,1,9
2016/05/02,,1,9
2016/05/03,,1,9
2016/05/04,,1,10
2016/05/05,,1,10
2016/05/06,,1,10
2016/05/07,,1,10
2016/05/08,,,9
2016/05/09,,,9
2016/05/10,,,11
2016/05/11,,,11
2016/05/12,,,11
2016/05/13,,1,11
2016/05/14,,1,10
2016/05/15,,1,10
2016/05/16,,1,9
2016/05/17,,1,8
2016/05/18,,1,7
2016/05/19,,1,7
2016/05/20,,2,8
2016/05/21,,2,8
2016/05/22,,2,8
2016/05/23,,3,8
2016/05/24,,3,8
2016/05/25,,3,8
2016/05/26,,3,8
2016/05/27,,3,8
2016/05/28,,3,9
2016/05/29,,3,8
2016/05/30,,3,8
2016/05/31,,3,8
2016/06/01,,3,8
2016/06/02,,3,8
2016/06/03,,3,7
2016/06/04,,3,8
2016/06/05,,3,8
2016/06/06,,3,8
2016/06/07,,3,10
2016/06/08,,3,10
2016/06/09,,3,10
2016/06/10,,2,10
2016/06/11,,2,10
2016/06/12,,2,9
2016/06/13,,2,10
2016/06/14,,2,10
2016/06/15,,2,11
2016/06/16,,2,11
2016/06/17,,2,11
2016/06/18,,2,12
2016/06/19,,1,11
2016/06/20,,1,11
2016/06/21,,1,11
2016/06/22,,1,12
2016/06/23,,1,12
2016/06/24,,1,12
2016/06/25,,1,12
2016/06/26,,1,12
2016/06/27,,1,13
2016/06/28,,1,13
2016/06/29,,1,12
2016/06/30,,2,13
2016/07/01,,2,15
2016/07/02,,2,15
2016/07/03,,2,15
2016/07/04,,2,14
2016/07/05,,2,14
2016/07/06,,2,13
2016/07/07,,2,11
2016/07/08,,2,11
2016/07/09,,2,10
2016/07/10,,2,9
2016/07/11,,1,10
2016/07/12,,2,9
2016/07/13,,2,8
2016/07/14,,2,9
2016/07/15,,1,10
2016/07/16,,1,11
2016/07/17,,1,12
2016/07/18,,1,11
2016/07/19,,1,11
2016/07/20,,1,11
2016/07/21,,1,11
2016/07/22,,1,10
2016/07/23,,1,10
2016/07/24,,2,12
2016/07/25,,3,13
2016/07/26,,3,15
2016/07/27,,3,14
2016/07/28,,3,14
2016/07/29,,3,14
2016/07/30,,3,15
2016/07/31,,2,13
2016/08/01,,2,13
2016/08/02,,2,13
2016/08/03,,2,13
2016/08/04,,2,15
2016/08/05,,3,16
2016/08/06,,3,16
2016/08/07,,3,16
2016/08/08,,4,16
2016/08/09,,3,16
2016/08/10,,3,15
2016/08/11,,3,17
2016/08/12,,3,19
2016/08/13,,3,19
2016/08/14,,3,18
2016/08/15,,3,17
2016/08/16,,3,17
2016/08/17,,3,17
2016/08/18,,3,17
2016/08/19,,3,18
2016/08/20,,3,18
2016/08/21,,3,18
2016/08/22,,3,18
2016/08/23,,3,16
2016/08/24,,2,17
2016/08/25,,2,15
2016/08/26,,2,15
2016/08/27,,2,15
2016/08/28,,2,15
2016/08/29,,3,14
2016/08/30,,3,14
2016/08/31,,3,15
2016/09/01,,3,16
2016/09/02,,3,16
2016/09/03,,3,15
2016/09/04,,3,14
2016/09/05,,3,14
2016/09/06,,4,15
2016/09/07,,4,15
2016/09/08,,4,15
2016/09/09,,3,16
2016/09/10,,3,14
2016/09/11,,3,12
2016/09/12,,3,12
2016/09/13,,3,11
2016/09/14,,3,12
2016/09/15,,3,11
2016/09/16,,4,12
2016/09/17,,4,12
2016/09/18,1,5,12
2016/09/19,1,5,12
2016/09/20,1,5,12
2016/09/21,1,5,11
2016/09/22,1,4,11
2016/09/23,1,4,11
2016/09/24,1,4,11
2016/09/25,1,4,11
2016/09/26,1,4,11
2016/09/27,1,4,12
2016/09/28,1,3,12
2016/09/29,1,3,12
2016/09/30,1,3,11
2016/10/01,1,3,10
2016/10/02,1,3,10
2016/10/03,1,3,10
2016/10/04,1,3,10
2016/10/05,1,3,10
2016/10/06,1,2,10
2016/10/07,1,2,9
2016/10/08,1,2,9
2016/10/09,1,2,9
2016/10/10,1,2,9
2016/10/11,1,2,8
2016/10/12,1,2,8
2016/10/13,1,2,8
2016/10/14,1,1,8
2016/10/15,1,1,9
2016/10/16,1,1,7
2016/10/17,1,1,7
2016/10/18,,,6
2016/10/19,,,5
2016/10/20,,,5
2016/10/21,,,5
2016/10/22,,,5
2016/10/23,,,4
2016/10/24,,,4
2016/10/25,,,4
2016/10/26,,,4
2016/10/27,,,4
2016/10/28,,,4
2016/10/29,,,4
2016/10/30,,,4
2016/10/31,,,4
2016/11/01,,,4
2016/11/02,,,4
2016/11/03,,,6
2016/11/04,,,7
2016/11/05,,,6
2016/11/06,,,6
2016/11/07,,,6
2016/11/08,,,6
2016/11/09,,,6
2016/11/10,,,7
2016/11/11,,,7
2016/11/12,,,8
2016/11/13,,,8
2016/11/14,,,8
2016/11/15,,,9
2016/11/16,,,8
2016/11/17,,,8
2016/11/18,,1,8
2016/11/19,,1,8
2016/11/20,,1,8
2016/11/21,,1,8
2016/11/22,,1,8
2016/11/23,,1,8
2016/11/24,,1,8
2016/11/25,,1,8
2016/11/26,,1,9
2016/11/27,,1,10
2016/11/28,,1,10
2016/11/29,,1,10
2016/11/30,,1,10
2016/12/01,,1,10
2016/12/02,,1,10
2016/12/03,,1,8
2016/12/04,,1,8
2016/12/05,,1,8
2016/12/06,,1,8
2016/12/07,,1,9
2016/12/08,,1,9
2016/12/09,,1,9
2016/12/10,,2,9
2016/12/11,,2,9
2016/12/12,,2,8
2016/12/13,,2,7
2016/12/14,,2,7
2016/12/15,,2,7
2016/12/16,,2,6
2016/12/17,,2,6
2016/12/18,,2,6
2016/12/19,,2,7
2016/12/20,,2,7
2016/12/21,,2,7
2016/12/22,,2,8
2016/12/23,,1,9
2016/12/24,,1,9
2016/12/25,,1,9
2016/12/26,,1,8
2016/12/27,,1,7
2016/12/28,,1,7
2016/12/29,,1,8
2016/12/30,,1,8
2016/12/31,,1,8
2017/01/01,,2,9
2017/01/02,,2,8
2017/01/03,,2,8
2017/01/04,,2,8
2017/01/05,,2,9
2017/01/06,,2,10
2017/01/07,,2,10
2017/01/08,,2,11
2017/01/09,,1,11
2017/01/10,,1,11
2017/01/11,,1,12
2017/01/12,,1,13
2017/01/13,,1,12
2017/01/14,,1,12
2017/01/15,,1,12
2017/01/16,,1,12
2017/01/17,,1,12
2017/01/18,,1,12
2017/01/19,,1,12
2017/01/20,,1,12
2017/01/21,,1,11
2017/01/22,,1,11
2017/01/23,,1,11
2017/01/24,,1,11
2017/01/25,,1,11
2017/01/26,,1,11
2017/01/27,,1,11
2017/01/28,,1,11
2017/01/29,,1,11
2017/01/30,,1,11
2017/01/31,,,10
2017/02/01,,,10
2017/02/02,,,10
2017/02/03,,,10
2017/02/04,,,10
2017/02/05,,,9
2017/02/06,,,9
2017/02/07,,,8
2017/02/08,,,6
2017/02/09,,,6
2017/02/10,,,5
2017/02/11,,,4
2017/02/12,,,3
2017/02/13,,,4
2017/02/14,,,4
2017/02/15,,,4
2017/02/16,,,4
