date,huwiki (100+),huwiki (5+),huwiki (all)
2013/11/04,115,561,1593
2013/11/05,114,569,1601
2013/11/06,113,569,1603
2013/11/07,111,569,1611
2013/11/08,111,569,1626
2013/11/09,111,566,1618
2013/11/10,112,575,1631
2013/11/11,109,584,1648
2013/11/12,108,583,1670
2013/11/13,107,587,1663
2013/11/14,106,582,1668
2013/11/15,103,581,1669
2013/11/16,102,577,1662
2013/11/17,104,571,1669
2013/11/18,103,578,1669
2013/11/19,103,578,1667
2013/11/20,102,582,1670
2013/11/21,103,582,1677
2013/11/22,100,587,1673
2013/11/23,99,587,1681
2013/11/24,98,584,1694
2013/11/25,97,581,1704
2013/11/26,100,583,1708
2013/11/27,108,574,1698
2013/11/28,105,572,1703
2013/11/29,99,588,1700
2013/11/30,99,591,1693
2013/12/01,100,605,1697
2013/12/02,99,607,1707
2013/12/03,100,605,1704
2013/12/04,98,599,1699
2013/12/05,98,600,1703
2013/12/06,99,603,1704
2013/12/07,96,608,1701
2013/12/08,99,607,1704
2013/12/09,100,621,1723
2013/12/10,99,623,1714
2013/12/11,100,618,1706
2013/12/12,100,612,1688
2013/12/13,98,612,1685
2013/12/14,99,616,1682
2013/12/15,96,617,1694
2013/12/16,102,620,1699
2013/12/17,102,616,1699
2013/12/18,100,607,1680
2013/12/19,100,618,1680
2013/12/20,98,615,1672
2013/12/21,100,605,1657
2013/12/22,101,598,1653
2013/12/23,100,595,1641
2013/12/24,103,598,1635
2013/12/25,102,588,1620
2013/12/26,101,588,1610
2013/12/27,104,584,1611
2013/12/28,101,586,1617
2013/12/29,103,575,1622
2013/12/30,105,582,1643
2013/12/31,106,580,1647
2014/01/01,109,580,1629
2014/01/02,107,574,1634
2014/01/03,106,580,1631
2014/01/04,107,592,1633
2014/01/05,107,600,1652
2014/01/06,107,598,1646
2014/01/07,106,603,1650
2014/01/08,104,589,1644
2014/01/09,105,583,1618
2014/01/10,106,582,1605
2014/01/11,107,580,1609
2014/01/12,107,582,1619
2014/01/13,109,588,1628
2014/01/14,106,596,1639
2014/01/15,109,589,1638
2014/01/16,105,590,1646
2014/01/17,109,588,1666
2014/01/18,108,587,1653
2014/01/19,110,598,1667
2014/01/20,110,597,1680
2014/01/21,110,601,1699
2014/01/22,113,606,1723
2014/01/23,114,602,1750
2014/01/24,116,606,1759
2014/01/25,115,609,1767
2014/01/26,114,607,1782
2014/01/27,113,605,1788
2014/01/28,114,609,1784
2014/01/29,116,619,1798
2014/01/30,117,619,1797
2014/01/31,117,615,1823
2014/02/01,114,618,1814
2014/02/02,116,624,1830
2014/02/03,117,624,1819
2014/02/04,115,625,1814
2014/02/05,113,626,1810
2014/02/06,111,627,1811
2014/02/07,108,628,1804
2014/02/08,111,635,1808
2014/02/09,110,640,1818
2014/02/10,111,647,1825
2014/02/11,109,642,1816
2014/02/12,107,635,1801
2014/02/13,106,632,1794
2014/02/14,105,626,1784
2014/02/15,104,623,1776
2014/02/16,102,620,1777
2014/02/17,105,622,1788
2014/02/18,107,616,1790
2014/02/19,103,615,1780
2014/02/20,100,613,1778
2014/02/21,100,611,1760
2014/02/22,101,613,1748
2014/02/23,101,618,1755
2014/02/24,100,620,1765
2014/02/25,97,620,1769
2014/02/26,98,617,1764
2014/02/27,95,608,1762
2014/02/28,95,611,1728
2014/03/01,95,603,1713
2014/03/02,93,610,1713
2014/03/03,94,602,1712
2014/03/04,91,595,1718
2014/03/05,91,586,1722
2014/03/06,89,576,1723
2014/03/07,90,568,1709
2014/03/08,90,566,1701
2014/03/09,91,567,1692
2014/03/10,92,566,1695
2014/03/11,92,564,1689
2014/03/12,90,556,1684
2014/03/13,89,547,1685
2014/03/14,90,550,1699
2014/03/15,88,558,1693
2014/03/16,90,558,1700
2014/03/17,91,558,1707
2014/03/18,94,558,1701
2014/03/19,95,566,1699
2014/03/20,96,560,1697
2014/03/21,95,562,1692
2014/03/22,94,566,1688
2014/03/23,94,564,1700
2014/03/24,94,560,1702
2014/03/25,95,554,1685
2014/03/26,96,561,1676
2014/03/27,98,559,1668
2014/03/28,98,550,1662
2014/03/29,98,552,1658
2014/03/30,96,558,1667
2014/03/31,98,554,1673
2014/04/01,98,547,1650
2014/04/02,96,545,1647
2014/04/03,96,542,1623
2014/04/04,94,540,1623
2014/04/05,94,543,1617
2014/04/06,94,549,1621
2014/04/07,96,545,1616
2014/04/08,91,547,1608
2014/04/09,91,551,1602
2014/04/10,91,540,1589
2014/04/11,91,537,1581
2014/04/12,92,532,1565
2014/04/13,93,528,1549
2014/04/14,91,525,1543
2014/04/15,91,525,1530
2014/04/16,90,530,1514
2014/04/17,88,529,1502
2014/04/18,88,537,1520
2014/04/19,89,540,1511
2014/04/20,88,540,1510
2014/04/21,85,538,1517
2014/04/22,82,548,1518
2014/04/23,88,548,1534
2014/04/24,82,558,1559
2014/04/25,80,550,1557
2014/04/26,79,549,1538
2014/04/27,80,558,1545
2014/04/28,84,558,1565
2014/04/29,83,556,1562
2014/04/30,88,563,1554
2014/05/01,89,569,1570
2014/05/02,87,571,1561
2014/05/03,89,579,1558
2014/05/04,89,579,1563
2014/05/05,91,579,1579
2014/05/06,91,587,1584
2014/05/07,90,587,1596
2014/05/08,92,586,1611
2014/05/09,93,581,1615
2014/05/10,93,590,1620
2014/05/11,95,606,1623
2014/05/12,96,625,1654
2014/05/13,96,624,1669
2014/05/14,96,638,1681
2014/05/15,98,645,1693
2014/05/16,98,646,1697
2014/05/17,99,644,1701
2014/05/18,100,639,1699
2014/05/19,102,635,1707
2014/05/20,101,627,1711
2014/05/21,102,627,1709
2014/05/22,102,630,1710
2014/05/23,101,626,1691
2014/05/24,100,616,1689
2014/05/25,100,625,1697
2014/05/26,100,625,1709
2014/05/27,99,627,1706
2014/05/28,101,623,1690
2014/05/29,102,628,1695
2014/05/30,101,635,1701
2014/05/31,101,633,1687
2014/06/01,100,633,1682
2014/06/02,103,628,1682
2014/06/03,106,625,1679
2014/06/04,103,627,1665
2014/06/05,105,620,1669
2014/06/06,104,616,1644
2014/06/07,103,610,1641
2014/06/08,104,607,1641
2014/06/09,102,601,1634
2014/06/10,104,597,1628
2014/06/11,100,574,1613
2014/06/12,100,559,1591
2014/06/13,99,521,1558
2014/06/14,100,510,1524
2014/06/15,101,503,1514
2014/06/16,98,507,1523
2014/06/17,102,506,1529
2014/06/18,103,513,1518
2014/06/19,101,514,1518
2014/06/20,101,515,1523
2014/06/21,102,517,1521
2014/06/22,105,516,1527
2014/06/23,106,520,1537
2014/06/24,106,516,1535
2014/06/25,105,515,1518
2014/06/26,109,515,1513
2014/06/27,108,512,1514
2014/06/28,108,520,1515
2014/06/29,107,516,1507
2014/06/30,107,514,1491
2014/07/01,103,514,1507
2014/07/02,101,511,1500
2014/07/03,101,510,1499
2014/07/04,102,508,1475
2014/07/05,105,500,1467
2014/07/06,105,501,1458
2014/07/07,103,512,1462
2014/07/08,103,502,1455
2014/07/09,104,504,1456
2014/07/10,102,518,1464
2014/07/11,104,524,1447
2014/07/12,106,530,1459
2014/07/13,103,532,1461
2014/07/14,105,533,1462
2014/07/15,109,533,1467
2014/07/16,110,529,1456
2014/07/17,104,523,1453
2014/07/18,106,526,1442
2014/07/19,107,528,1438
2014/07/20,106,525,1435
2014/07/21,107,528,1433
2014/07/22,108,531,1436
2014/07/23,108,520,1434
2014/07/24,106,521,1429
2014/07/25,105,523,1432
2014/07/26,104,524,1411
2014/07/27,103,523,1412
2014/07/28,104,515,1400
2014/07/29,101,520,1410
2014/07/30,104,523,1428
2014/07/31,103,521,1432
2014/08/01,103,524,1431
2014/08/02,105,528,1443
2014/08/03,106,521,1441
2014/08/04,107,518,1445
2014/08/05,110,517,1452
2014/08/06,110,514,1465
2014/08/07,110,515,1476
2014/08/08,112,517,1482
2014/08/09,111,514,1466
2014/08/10,112,515,1467
2014/08/11,114,514,1452
2014/08/12,115,512,1451
2014/08/13,114,511,1466
2014/08/14,114,517,1465
2014/08/15,113,524,1456
2014/08/16,113,527,1441
2014/08/17,116,523,1436
2014/08/18,119,522,1435
2014/08/19,119,521,1443
2014/08/20,119,519,1452
2014/08/21,116,520,1457
2014/08/22,119,524,1465
2014/08/23,120,523,1456
2014/08/24,119,531,1454
2014/08/25,122,534,1470
2014/08/26,122,537,1474
2014/08/27,122,536,1478
2014/08/28,119,535,1477
2014/08/29,120,531,1462
2014/08/30,121,528,1456
2014/08/31,120,523,1446
2014/09/01,120,524,1433
2014/09/02,118,525,1445
2014/09/03,118,524,1452
2014/09/04,118,522,1452
2014/09/05,116,515,1434
2014/09/06,115,511,1417
2014/09/07,110,510,1405
2014/09/08,112,516,1398
2014/09/09,113,519,1398
2014/09/10,111,517,1409
2014/09/11,114,518,1402
2014/09/12,111,519,1399
2014/09/13,111,507,1396
2014/09/14,113,507,1387
2014/09/15,112,505,1399
2014/09/16,112,502,1409
2014/09/17,111,496,1400
2014/09/18,110,496,1403
2014/09/19,108,490,1389
2014/09/20,109,496,1381
2014/09/21,110,493,1361
2014/09/22,111,492,1359
2014/09/23,106,488,1358
2014/09/24,105,484,1350
2014/09/25,107,482,1336
2014/09/26,108,474,1333
2014/09/27,107,476,1330
2014/09/28,107,474,1329
2014/09/29,109,474,1329
2014/09/30,108,480,1345
2014/10/01,107,478,1350
2014/10/02,107,481,1355
2014/10/03,106,484,1344
2014/10/04,107,483,1349
2014/10/05,108,485,1365
2014/10/06,108,491,1369
2014/10/07,110,484,1377
2014/10/08,106,476,1371
2014/10/09,105,472,1366
2014/10/10,107,472,1348
2014/10/11,107,474,1341
2014/10/12,105,470,1338
2014/10/13,108,472,1354
2014/10/14,106,481,1365
2014/10/15,106,481,1368
2014/10/16,105,482,1374
2014/10/17,105,482,1378
2014/10/18,107,484,1371
2014/10/19,107,488,1373
2014/10/20,107,483,1369
2014/10/21,108,481,1376
2014/10/22,104,488,1380
2014/10/23,107,495,1378
2014/10/24,107,494,1391
2014/10/25,107,494,1394
2014/10/26,105,494,1399
2014/10/27,107,495,1409
2014/10/28,105,496,1416
2014/10/29,103,498,1424
2014/10/30,102,499,1417
2014/10/31,101,504,1421
2014/11/01,100,503,1423
2014/11/02,103,513,1432
2014/11/03,101,510,1436
2014/11/04,103,511,1437
2014/11/05,99,508,1442
2014/11/06,99,512,1442
2014/11/07,98,513,1448
2014/11/08,97,512,1465
2014/11/09,101,521,1491
2014/11/10,101,524,1503
2014/11/11,102,527,1518
2014/11/12,103,533,1536
2014/11/13,102,524,1527
2014/11/14,102,517,1516
2014/11/15,104,521,1513
2014/11/16,103,525,1507
2014/11/17,104,532,1505
2014/11/18,101,534,1510
2014/11/19,102,537,1530
2014/11/20,102,533,1536
2014/11/21,102,534,1535
2014/11/22,101,546,1533
2014/11/23,100,553,1526
2014/11/24,102,571,1544
2014/11/25,102,575,1545
2014/11/26,101,573,1546
2014/11/27,100,576,1542
2014/11/28,102,579,1542
2014/11/29,100,585,1571
2014/11/30,103,586,1576
2014/12/01,102,585,1571
2014/12/02,102,590,1574
2014/12/03,102,584,1571
2014/12/04,101,580,1566
2014/12/05,100,574,1576
2014/12/06,101,573,1573
2014/12/07,105,574,1564
2014/12/08,105,578,1572
2014/12/09,102,566,1564
2014/12/10,100,564,1562
2014/12/11,100,565,1567
2014/12/12,101,562,1557
2014/12/13,99,569,1562
2014/12/14,99,571,1575
2014/12/15,98,580,1586
2014/12/16,98,593,1609
2014/12/17,96,594,1609
2014/12/18,97,598,1614
2014/12/19,98,591,1595
2014/12/20,100,587,1581
2014/12/21,100,581,1572
2014/12/22,102,577,1565
2014/12/23,103,570,1560
2014/12/24,104,567,1549
2014/12/25,104,561,1535
2014/12/26,105,561,1521
2014/12/27,107,558,1530
2014/12/28,107,558,1517
2014/12/29,109,559,1513
2014/12/30,108,557,1521
2014/12/31,104,555,1505
2015/01/01,105,549,1486
2015/01/02,107,549,1477
2015/01/03,107,550,1486
2015/01/04,108,555,1494
2015/01/05,106,554,1508
2015/01/06,106,551,1513
2015/01/07,107,559,1523
2015/01/08,109,562,1522
2015/01/09,109,567,1513
2015/01/10,107,562,1497
2015/01/11,108,562,1494
2015/01/12,110,569,1500
2015/01/13,110,571,1493
2015/01/14,109,567,1476
2015/01/15,109,561,1464
2015/01/16,110,560,1460
2015/01/17,112,556,1459
2015/01/18,110,555,1460
2015/01/19,115,564,1481
2015/01/20,117,562,1481
2015/01/21,117,564,1497
2015/01/22,117,570,1509
2015/01/23,114,576,1529
2015/01/24,114,580,1533
2015/01/25,118,587,1546
2015/01/26,120,586,1559
2015/01/27,119,583,1556
2015/01/28,120,582,1569
2015/01/29,121,580,1570
2015/01/30,120,581,1581
2015/01/31,118,588,1572
2015/02/01,114,585,1563
2015/02/02,118,575,1559
2015/02/03,119,568,1559
2015/02/04,121,570,1541
2015/02/05,119,570,1552
2015/02/06,116,563,1535
2015/02/07,119,560,1534
2015/02/08,116,555,1543
2015/02/09,115,552,1546
2015/02/10,114,547,1545
2015/02/11,114,533,1531
2015/02/12,115,529,1526
2015/02/13,116,527,1529
2015/02/14,116,520,1531
2015/02/15,118,525,1529
2015/02/16,119,529,1531
2015/02/17,116,533,1532
2015/02/18,114,530,1531
2015/02/19,112,526,1524
2015/02/20,111,525,1523
2015/02/21,113,516,1515
2015/02/22,110,516,1513
2015/02/23,111,519,1518
2015/02/24,110,515,1530
2015/02/25,110,513,1533
2015/02/26,110,511,1528
2015/02/27,109,511,1517
2015/02/28,106,508,1509
2015/03/01,102,503,1506
2015/03/02,104,506,1522
2015/03/03,103,516,1534
2015/03/04,103,517,1534
2015/03/05,103,517,1527
2015/03/06,103,509,1537
2015/03/07,100,509,1522
2015/03/08,102,511,1539
2015/03/09,102,515,1536
2015/03/10,99,514,1537
2015/03/11,101,515,1537
2015/03/12,102,511,1533
2015/03/13,103,514,1529
2015/03/14,102,512,1535
2015/03/15,101,517,1552
2015/03/16,102,518,1554
2015/03/17,104,520,1542
2015/03/18,104,517,1544
2015/03/19,103,515,1543
2015/03/20,104,525,1534
2015/03/21,104,526,1535
2015/03/22,104,523,1543
2015/03/23,101,531,1560
2015/03/24,97,526,1562
2015/03/25,93,526,1559
2015/03/26,91,526,1555
2015/03/27,91,528,1571
2015/03/28,91,526,1567
2015/03/29,95,518,1564
2015/03/30,96,524,1563
2015/03/31,94,525,1555
2015/04/01,92,526,1540
2015/04/02,90,525,1539
2015/04/03,88,517,1536
2015/04/04,90,520,1530
2015/04/05,90,529,1534
2015/04/06,91,532,1544
2015/04/07,91,533,1542
2015/04/08,92,529,1541
2015/04/09,93,530,1536
2015/04/10,91,538,1535
2015/04/11,89,531,1538
2015/04/12,93,535,1535
2015/04/13,94,530,1532
2015/04/14,95,526,1522
2015/04/15,95,531,1536
2015/04/16,94,535,1535
2015/04/17,94,540,1523
2015/04/18,93,539,1520
2015/04/19,93,537,1527
2015/04/20,95,541,1534
2015/04/21,94,543,1526
2015/04/22,93,552,1518
2015/04/23,95,553,1526
2015/04/24,94,546,1533
2015/04/25,94,545,1525
2015/04/26,96,542,1503
2015/04/27,93,544,1505
2015/04/28,93,548,1513
2015/04/29,94,542,1514
2015/04/30,91,536,1505
2015/05/01,90,524,1471
2015/05/02,90,510,1437
2015/05/03,88,502,1404
2015/05/04,88,484,1366
2015/05/05,86,470,1332
2015/05/06,82,465,1295
2015/05/07,79,458,1256
2015/05/08,75,446,1219
2015/05/09,70,434,1187
2015/05/10,68,419,1152
2015/05/11,66,407,1114
