date,scnwiki (100+),scnwiki (5+),scnwiki (all)
2012/08/19,5,23,71
2012/08/20,5,24,73
2012/08/21,5,25,73
2012/08/22,5,25,73
2012/08/23,4,25,73
2012/08/24,4,26,72
2012/08/25,6,25,75
2012/08/26,6,28,76
2012/08/27,6,28,78
2012/08/28,6,27,78
2012/08/29,6,29,82
2012/08/30,6,32,82
2012/08/31,6,32,82
2012/09/01,6,32,83
2012/09/02,5,32,85
2012/09/03,5,32,84
2012/09/04,5,32,82
2012/09/05,5,31,79
2012/09/06,5,31,80
2012/09/07,5,32,81
2012/09/08,5,32,78
2012/09/09,5,32,78
2012/09/10,5,32,78
2012/09/11,6,31,76
2012/09/12,6,30,75
2012/09/13,6,30,79
2012/09/14,6,31,81
2012/09/15,6,31,82
2012/09/16,6,31,81
2012/09/17,7,29,77
2012/09/18,7,29,76
2012/09/19,7,27,76
2012/09/20,7,27,75
2012/09/21,7,26,76
2012/09/22,7,26,76
2012/09/23,7,27,76
2012/09/24,7,27,75
2012/09/25,7,27,74
2012/09/26,7,27,72
2012/09/27,7,27,76
2012/09/28,6,25,72
2012/09/29,6,24,68
2012/09/30,6,26,66
2012/10/01,6,24,66
2012/10/02,6,25,65
2012/10/03,6,25,64
2012/10/04,7,25,64
2012/10/05,7,25,64
2012/10/06,7,25,62
2012/10/07,8,25,61
2012/10/08,8,25,61
2012/10/09,8,23,61
2012/10/10,8,23,61
2012/10/11,9,23,62
2012/10/12,9,22,58
2012/10/13,9,22,55
2012/10/14,9,23,53
2012/10/15,9,22,53
2012/10/16,9,22,54
2012/10/17,9,22,57
2012/10/18,9,22,57
2012/10/19,9,22,57
2012/10/20,9,24,59
2012/10/21,9,25,61
2012/10/22,9,25,61
2012/10/23,9,23,62
2012/10/24,7,22,62
2012/10/25,7,23,61
2012/10/26,7,24,65
2012/10/27,7,24,63
2012/10/28,7,24,63
2012/10/29,7,24,66
2012/10/30,7,24,65
2012/10/31,7,24,65
2012/11/01,7,24,65
2012/11/02,7,24,65
2012/11/03,7,24,64
2012/11/04,7,24,64
2012/11/05,7,24,65
2012/11/06,7,23,66
2012/11/07,5,23,66
2012/11/08,5,24,66
2012/11/09,5,24,66
2012/11/10,5,24,66
