date,jawiki (100+),jawiki (5+),jawiki (all)
2012/08/19,340,4022,11672
2012/08/20,345,4015,11708
2012/08/21,348,4010,11707
2012/08/22,337,4020,11705
2012/08/23,343,4011,11711
2012/08/24,332,3928,11497
2012/08/25,341,4016,11724
2012/08/26,343,4047,11739
2012/08/27,349,4050,11757
2012/08/28,347,4041,11762
2012/08/29,345,4030,11798
2012/08/30,342,4045,11791
2012/08/31,348,4057,11774
2012/09/01,346,4060,11733
2012/09/02,348,4084,11741
2012/09/03,342,4106,11739
2012/09/04,337,4102,11747
2012/09/05,335,4104,11771
2012/09/06,341,4117,11795
2012/09/07,343,4120,11799
2012/09/08,346,4127,11802
2012/09/09,345,4144,11863
2012/09/10,351,4176,11899
2012/09/11,348,4167,11956
2012/09/12,343,4173,11993
2012/09/13,347,4166,12003
2012/09/14,344,4166,12012
2012/09/15,338,4164,11995
2012/09/16,342,4147,11937
2012/09/17,350,4181,11945
2012/09/18,339,4181,11920
2012/09/19,335,4178,11849
2012/09/20,342,4165,11820
2012/09/21,340,4152,11779
2012/09/22,334,4156,11762
2012/09/23,341,4150,11732
2012/09/24,344,4155,11738
2012/09/25,338,4131,11694
2012/09/26,340,4119,11672
2012/09/27,340,4144,11693
2012/09/28,339,4145,11698
2012/09/29,339,4138,11709
2012/09/30,353,4174,11716
2012/10/01,356,4180,11767
2012/10/02,362,4185,11822
2012/10/03,366,4202,11847
2012/10/04,361,4205,11904
2012/10/05,364,4209,11901
2012/10/06,362,4231,11908
2012/10/07,368,4249,11948
2012/10/08,375,4285,11940
2012/10/09,381,4293,11954
2012/10/10,380,4282,11929
2012/10/11,379,4282,11937
2012/10/12,373,4298,11895
2012/10/13,374,4282,11856
2012/10/14,380,4275,11860
2012/10/15,383,4295,11890
2012/10/16,388,4289,11874
2012/10/17,387,4273,11861
2012/10/18,387,4262,11852
2012/10/19,388,4268,11893
2012/10/20,383,4260,11906
2012/10/21,382,4280,11925
2012/10/22,379,4278,11916
2012/10/23,376,4274,11904
2012/10/24,371,4265,11850
2012/10/25,378,4254,11855
2012/10/26,381,4275,11875
2012/10/27,380,4288,11868
2012/10/28,377,4295,11870
2012/10/29,375,4313,11891
2012/10/30,369,4308,11901
2012/10/31,370,4282,11809
2012/11/01,370,4252,11742
2012/11/02,370,4215,11692
2012/11/03,364,4213,11649
2012/11/04,361,4246,11680
2012/11/05,360,4248,11646
2012/11/06,360,4233,11631
2012/11/07,358,4218,11616
2012/11/08,350,4190,11583
2012/11/09,352,4179,11545
2012/11/10,354,4152,11514
2012/11/11,363,4154,11547
2012/11/12,364,4180,11596
2012/11/13,363,4156,11547
2012/11/14,352,4111,11480
2012/11/15,347,4115,11460
2012/11/16,349,4124,11448
2012/11/17,349,4100,11472
2012/11/18,356,4121,11474
2012/11/19,360,4140,11489
2012/11/20,355,4118,11502
2012/11/21,356,4092,11484
2012/11/22,362,4084,11453
2012/11/23,359,4068,11460
2012/11/24,364,4082,11469
2012/11/25,361,4080,11519
2012/11/26,365,4076,11535
2012/11/27,372,4071,11511
2012/11/28,362,4052,11488
2012/11/29,362,4057,11468
2012/11/30,359,4042,11474
2012/12/01,361,4055,11457
2012/12/02,361,4068,11456
2012/12/03,363,4052,11479
2012/12/04,360,4039,11440
2012/12/05,358,4032,11443
2012/12/06,359,4013,11425
2012/12/07,359,4029,11411
2012/12/08,351,4010,11402
2012/12/09,354,4022,11412
2012/12/10,366,4017,11410
2012/12/11,362,4010,11367
2012/12/12,349,3999,11323
2012/12/13,356,4008,11329
2012/12/14,358,3991,11360
2012/12/15,358,3980,11380
2012/12/16,357,3990,11415
2012/12/17,350,4015,11426
2012/12/18,348,4029,11406
2012/12/19,348,4008,11370
2012/12/20,354,3987,11362
2012/12/21,353,3984,11328
2012/12/22,345,3966,11271
2012/12/23,344,3986,11271
2012/12/24,350,3984,11268
2012/12/25,349,3987,11267
2012/12/26,349,3968,11237
2012/12/27,347,3977,11259
2012/12/28,348,3981,11240
2012/12/29,343,3979,11245
2012/12/30,351,3994,11278
2012/12/31,352,3980,11313
2013/01/01,353,3987,11281
2013/01/02,350,3961,11220
2013/01/03,353,3959,11199
2013/01/04,353,3966,11197
2013/01/05,349,3993,11216
2013/01/06,351,4032,11316
2013/01/07,357,4080,11386
2013/01/08,352,4066,11393
2013/01/09,347,4058,11437
2013/01/10,346,4063,11481
2013/01/11,347,4063,11545
2013/01/12,348,4076,11569
2013/01/13,357,4083,11589
2013/01/14,360,4115,11617
2013/01/15,361,4121,11625
2013/01/16,363,4117,11659
2013/01/17,355,4101,11626
2013/01/18,360,4121,11623
2013/01/19,364,4117,11654
2013/01/20,366,4151,11720
2013/01/21,369,4164,11798
2013/01/22,371,4170,11839
2013/01/23,373,4163,11844
2013/01/24,369,4153,11852
2013/01/25,364,4168,11859
2013/01/26,360,4195,11855
2013/01/27,362,4183,11846
2013/01/28,365,4197,11887
2013/01/29,366,4204,11863
2013/01/30,364,4211,11843
2013/01/31,373,4211,11904
2013/02/01,374,4224,11955
2013/02/02,371,4219,11991
2013/02/03,372,4228,12037
2013/02/04,375,4245,12098
2013/02/05,372,4204,12039
2013/02/06,375,4202,12033
2013/02/07,370,4195,12007
2013/02/08,363,4199,11970
2013/02/09,362,4191,11958
2013/02/10,368,4209,11966
2013/02/11,372,4223,12026
2013/02/12,377,4227,12050
2013/02/13,375,4222,12032
2013/02/14,376,4196,12036
2013/02/15,373,4214,12051
2013/02/16,369,4226,12056
2013/02/17,376,4244,12055
2013/02/18,372,4263,12108
2013/02/19,370,4261,12084
2013/02/20,374,4256,12084
2013/02/21,375,4239,12066
2013/02/22,371,4253,12070
2013/02/23,372,4262,12067
2013/02/24,376,4291,12079
2013/02/25,383,4290,12076
2013/02/26,378,4293,12067
2013/02/27,381,4279,11977
2013/02/28,384,4305,11996
2013/03/01,379,4299,12031
2013/03/02,381,4320,12024
2013/03/03,378,4345,12038
2013/03/04,380,4324,12046
2013/03/05,375,4326,11981
2013/03/06,373,4296,11907
2013/03/07,375,4303,11923
2013/03/08,373,4292,11958
2013/03/09,367,4300,11947
2013/03/10,367,4307,11996
2013/03/11,367,4323,12022
2013/03/12,359,4326,12000
2013/03/13,357,4292,11967
2013/03/14,350,4259,11966
2013/03/15,348,4247,11968
2013/03/16,351,4255,11967
2013/03/17,361,4254,12017
2013/03/18,366,4260,12002
2013/03/19,365,4234,12004
2013/03/20,368,4211,11976
2013/03/21,368,4223,11986
2013/03/22,369,4207,11941
2013/03/23,366,4208,11941
2013/03/24,366,4224,11971
2013/03/25,362,4218,11991
2013/03/26,365,4208,11988
2013/03/27,362,4190,12026
2013/03/28,361,4177,12039
2013/03/29,366,4161,12061
2013/03/30,367,4166,12050
2013/03/31,369,4160,12056
2013/04/01,365,4196,12066
2013/04/02,370,4169,12059
2013/04/03,374,4207,12074
2013/04/04,369,4237,12111
2013/04/05,372,4263,12170
2013/04/06,374,4288,12131
2013/04/07,377,4304,12195
2013/04/08,379,4304,12182
2013/04/09,379,4319,12144
2013/04/10,374,4298,12142
2013/04/11,370,4297,12152
2013/04/12,368,4296,12155
2013/04/13,369,4288,12160
2013/04/14,371,4292,12173
2013/04/15,378,4321,12205
2013/04/16,373,4282,12140
2013/04/17,377,4254,12123
2013/04/18,372,4244,12083
2013/04/19,368,4230,12079
2013/04/20,364,4206,12037
2013/04/21,362,4235,12103
2013/04/22,367,4237,12102
2013/04/23,366,4196,12057
2013/04/24,362,4188,12003
2013/04/25,358,4195,12014
2013/04/26,353,4195,11964
2013/04/27,357,4202,11963
2013/04/28,362,4205,11972
2013/04/29,362,4195,11985
2013/04/30,366,4221,12015
2013/05/01,362,4186,12007
2013/05/02,366,4183,11978
2013/05/03,376,4146,11891
2013/05/04,375,4153,11893
2013/05/05,369,4144,11843
2013/05/06,368,4156,11838
2013/05/07,368,4141,11780
2013/05/08,365,4130,11762
2013/05/09,366,4106,11811
2013/05/10,362,4115,11782
2013/05/11,359,4118,11800
2013/05/12,364,4142,11835
2013/05/13,370,4157,11847
2013/05/14,370,4162,11842
2013/05/15,360,4122,11808
2013/05/16,365,4124,11773
2013/05/17,367,4116,11745
2013/05/18,362,4122,11735
2013/05/19,371,4121,11771
2013/05/20,375,4151,11843
2013/05/21,369,4127,11786
2013/05/22,368,4098,11776
2013/05/23,367,4098,11804
2013/05/24,361,4104,11837
2013/05/25,352,4095,11798
2013/05/26,351,4102,11814
2013/05/27,359,4113,11835
2013/05/28,358,4103,11813
2013/05/29,355,4103,11827
2013/05/30,352,4083,11753
