date,hakwiki (100+),hakwiki (5+),hakwiki (all)
2013/09/05,3,6,21
2013/09/06,3,6,21
2013/09/07,3,6,20
2013/09/08,3,6,20
2013/09/09,3,6,18
2013/09/10,3,6,18
2013/09/11,3,6,19
2013/09/12,3,6,18
2013/09/13,3,6,19
2013/09/14,3,6,17
2013/09/15,3,5,16
2013/09/16,3,5,15
2013/09/17,3,5,15
2013/09/18,3,5,15
2013/09/19,3,5,15
2013/09/20,3,4,15
2013/09/21,3,4,15
2013/09/22,3,4,15
2013/09/23,3,4,15
2013/09/24,3,3,14
2013/09/25,3,3,14
2013/09/26,3,3,13
2013/09/27,3,3,12
2013/09/28,3,3,12
2013/09/29,3,4,13
2013/09/30,2,4,13
2013/10/01,2,3,12
2013/10/02,2,3,12
2013/10/03,1,2,11
2013/10/04,1,2,12
2013/10/05,1,2,12
2013/10/06,,2,12
2013/10/07,,2,13
2013/10/08,,1,11
2013/10/09,,1,11
2013/10/10,,2,10
2013/10/11,,2,9
2013/10/12,,3,10
2013/10/13,,3,10
2013/10/14,,3,11
2013/10/15,,4,12
2013/10/16,,4,12
2013/10/17,,4,13
2013/10/18,,4,13
2013/10/19,,4,13
2013/10/20,,4,13
2013/10/21,,4,12
2013/10/22,,4,12
2013/10/23,,4,12
2013/10/24,,4,13
2013/10/25,,4,13
2013/10/26,,4,15
2013/10/27,,4,15
2013/10/28,,4,14
2013/10/29,,4,14
2013/10/30,,4,15
2013/10/31,,4,15
2013/11/01,,5,16
2013/11/02,,5,16
2013/11/03,,6,16
2013/11/04,1,5,16
2013/11/05,1,5,16
2013/11/06,1,5,16
2013/11/07,1,5,16
2013/11/08,1,5,17
2013/11/09,1,5,18
2013/11/10,1,4,17
2013/11/11,1,4,16
2013/11/12,1,3,16
2013/11/13,1,3,16
2013/11/14,1,3,15
2013/11/15,1,3,15
2013/11/16,1,3,13
2013/11/17,1,4,14
2013/11/18,1,4,14
2013/11/19,1,4,14
2013/11/20,1,4,14
2013/11/21,1,4,14
2013/11/22,1,4,13
2013/11/23,1,4,13
2013/11/24,1,4,12
2013/11/25,1,4,10
2013/11/26,1,4,10
2013/11/27,1,4,12
2013/11/28,1,4,13
2013/11/29,1,4,13
2013/11/30,1,4,13
2013/12/01,1,5,14
2013/12/02,1,4,14
2013/12/03,,4,14
2013/12/04,,3,14
2013/12/05,,3,15
2013/12/06,,3,15
2013/12/07,,3,15
2013/12/08,,3,15
2013/12/09,,3,14
2013/12/10,,2,15
2013/12/11,,2,15
2013/12/12,,2,14
2013/12/13,,3,15
2013/12/14,1,3,15
2013/12/15,1,4,16
2013/12/16,1,4,17
2013/12/17,1,3,16
2013/12/18,1,3,16
2013/12/19,1,3,16
2013/12/20,1,3,17
2013/12/21,1,3,18
2013/12/22,1,3,17
2013/12/23,1,3,17
2013/12/24,1,3,17
2013/12/25,1,3,18
2013/12/26,1,3,18
2013/12/27,1,3,16
2013/12/28,1,3,14
2013/12/29,1,3,15
2013/12/30,1,3,15
2013/12/31,1,2,13
2014/01/01,1,2,13
2014/01/02,1,2,13
2014/01/03,1,2,12
2014/01/04,1,2,12
2014/01/05,1,2,12
2014/01/06,1,2,12
2014/01/07,1,2,12
2014/01/08,1,2,11
2014/01/09,1,2,10
2014/01/10,1,2,10
2014/01/11,1,2,10
2014/01/12,,2,9
2014/01/13,,1,9
2014/01/14,,,8
2014/01/15,,,8
2014/01/16,,,9
2014/01/17,,1,10
2014/01/18,,1,10
2014/01/19,,2,10
2014/01/20,,2,9
2014/01/21,,2,9
2014/01/22,,2,9
2014/01/23,,2,9
2014/01/24,,2,8
2014/01/25,,2,8
2014/01/26,,2,8
2014/01/27,,2,9
2014/01/28,,2,8
2014/01/29,,2,7
2014/01/30,,2,9
2014/01/31,,2,9
2014/02/01,,2,10
2014/02/02,,2,12
2014/02/03,,2,12
2014/02/04,,2,13
2014/02/05,,2,13
2014/02/06,,2,13
2014/02/07,,2,13
2014/02/08,,2,13
2014/02/09,,2,14
2014/02/10,,2,16
2014/02/11,,2,16
2014/02/12,,2,15
2014/02/13,,3,16
2014/02/14,,3,15
2014/02/15,,3,14
2014/02/16,,2,15
2014/02/17,,2,15
2014/02/18,,1,14
2014/02/19,,1,16
2014/02/20,,1,15
2014/02/21,,1,15
2014/02/22,,1,15
2014/02/23,,1,16
2014/02/24,,1,16
2014/02/25,,1,17
2014/02/26,,1,16
2014/02/27,,1,16
2014/02/28,,1,16
2014/03/01,,1,15
2014/03/02,,1,15
2014/03/03,,1,15
2014/03/04,,1,14
2014/03/05,,1,14
2014/03/06,,1,14
2014/03/07,,1,16
2014/03/08,,1,17
2014/03/09,,1,17
2014/03/10,,2,18
2014/03/11,,3,18
2014/03/12,,3,16
2014/03/13,,3,16
2014/03/14,,3,16
2014/03/15,,2,14
2014/03/16,,2,15
2014/03/17,,2,16
2014/03/18,,2,14
2014/03/19,,2,14
2014/03/20,,2,16
2014/03/21,,2,16
2014/03/22,,2,17
2014/03/23,,2,17
2014/03/24,,2,19
2014/03/25,,2,21
2014/03/26,,2,21
2014/03/27,,2,21
2014/03/28,,2,21
2014/03/29,,2,21
2014/03/30,,2,21
2014/03/31,,2,19
2014/04/01,,2,19
2014/04/02,,2,19
2014/04/03,,2,19
2014/04/04,,2,19
2014/04/05,,2,18
2014/04/06,,2,16
2014/04/07,,3,17
2014/04/08,,3,17
2014/04/09,,3,18
2014/04/10,,2,19
2014/04/11,,2,19
2014/04/12,,2,19
2014/04/13,,2,19
2014/04/14,,2,19
2014/04/15,,2,18
2014/04/16,,2,17
2014/04/17,,2,17
2014/04/18,,2,17
2014/04/19,,2,16
2014/04/20,,2,15
2014/04/21,,2,14
2014/04/22,,2,15
2014/04/23,,2,13
2014/04/24,,2,12
2014/04/25,,2,14
2014/04/26,,3,16
2014/04/27,,3,17
2014/04/28,,3,17
2014/04/29,,2,16
2014/04/30,,3,16
2014/05/01,,3,16
2014/05/02,,3,16
2014/05/03,,3,16
2014/05/04,,4,17
2014/05/05,,4,17
2014/05/06,,4,17
2014/05/07,,3,14
2014/05/08,,3,15
2014/05/09,,3,15
2014/05/10,,3,13
2014/05/11,,3,13
2014/05/12,,3,13
2014/05/13,,3,14
2014/05/14,,3,14
2014/05/15,,3,15
2014/05/16,,3,14
2014/05/17,,3,14
2014/05/18,,3,14
2014/05/19,,3,14
2014/05/20,,3,14
2014/05/21,,3,14
2014/05/22,,3,15
2014/05/23,,3,15
2014/05/24,,3,15
2014/05/25,,2,14
2014/05/26,,2,11
2014/05/27,,2,10
2014/05/28,,2,10
2014/05/29,,2,10
2014/05/30,,2,11
2014/05/31,,2,11
2014/06/01,,2,11
2014/06/02,,2,11
2014/06/03,,1,10
2014/06/04,,1,10
2014/06/05,,1,10
2014/06/06,,1,9
2014/06/07,,1,8
2014/06/08,,1,7
2014/06/09,,1,7
2014/06/10,,1,8
2014/06/11,,1,8
2014/06/12,,1,9
2014/06/13,,1,11
2014/06/14,,1,9
2014/06/15,,1,10
2014/06/16,,2,11
2014/06/17,,2,11
2014/06/18,1,2,11
2014/06/19,1,3,12
2014/06/20,1,3,12
2014/06/21,1,3,11
2014/06/22,1,4,13
2014/06/23,1,4,13
2014/06/24,1,4,13
2014/06/25,1,4,13
2014/06/26,1,6,16
2014/06/27,1,6,16
2014/06/28,1,6,16
2014/06/29,1,6,15
2014/06/30,1,6,15
2014/07/01,1,6,15
2014/07/02,1,6,15
2014/07/03,2,8,17
2014/07/04,3,7,17
2014/07/05,3,7,17
2014/07/06,3,7,18
2014/07/07,3,7,18
2014/07/08,3,7,17
2014/07/09,3,7,17
2014/07/10,3,7,16
2014/07/11,3,7,17
2014/07/12,3,7,16
2014/07/13,3,7,16
2014/07/14,3,7,16
2014/07/15,3,7,15
2014/07/16,3,7,15
2014/07/17,3,8,15
2014/07/18,3,8,15
2014/07/19,3,8,15
2014/07/20,3,8,15
2014/07/21,3,8,14
2014/07/22,3,7,13
2014/07/23,3,6,12
2014/07/24,3,5,12
2014/07/25,3,5,12
2014/07/26,3,6,12
2014/07/27,3,5,11
2014/07/28,3,5,11
2014/07/29,3,5,11
2014/07/30,3,5,11
2014/07/31,3,5,11
2014/08/01,3,5,11
2014/08/02,2,3,9
2014/08/03,,2,7
2014/08/04,,2,7
2014/08/05,,,6
2014/08/06,,,6
2014/08/07,,,6
2014/08/08,,,6
2014/08/09,,,6
2014/08/10,,,6
2014/08/11,,,5
2014/08/12,,,7
2014/08/13,,,7
2014/08/14,,,8
2014/08/15,,,8
2014/08/16,,,8
2014/08/17,,,8
2014/08/18,,,8
2014/08/19,1,1,10
2014/08/20,1,1,10
2014/08/21,1,1,11
2014/08/22,1,1,11
2014/08/23,1,1,12
2014/08/24,1,1,12
2014/08/25,1,1,12
2014/08/26,1,1,12
2014/08/27,1,2,14
2014/08/28,2,3,15
2014/08/29,2,3,14
2014/08/30,2,3,15
2014/08/31,2,3,15
2014/09/01,2,3,15
2014/09/02,2,4,16
2014/09/03,2,4,16
2014/09/04,3,5,17
2014/09/05,3,5,18
2014/09/06,3,5,18
2014/09/07,3,5,19
2014/09/08,3,5,19
2014/09/09,3,5,19
2014/09/10,3,5,19
2014/09/11,3,5,18
2014/09/12,3,5,18
2014/09/13,3,5,18
2014/09/14,3,5,19
2014/09/15,3,6,20
2014/09/16,3,7,21
2014/09/17,3,8,22
2014/09/18,2,8,22
2014/09/19,2,8,22
2014/09/20,2,9,22
2014/09/21,2,9,21
2014/09/22,2,9,20
2014/09/23,2,9,19
2014/09/24,2,9,19
2014/09/25,2,9,19
2014/09/26,2,9,18
2014/09/27,2,9,20
2014/09/28,2,9,20
2014/09/29,2,10,19
2014/09/30,1,10,19
2014/10/01,1,10,19
2014/10/02,1,9,18
2014/10/03,1,9,17
2014/10/04,,8,17
2014/10/05,,8,17
2014/10/06,,8,17
2014/10/07,,8,17
2014/10/08,,8,17
2014/10/09,,8,17
2014/10/10,,7,17
2014/10/11,,7,18
2014/10/12,,7,18
2014/10/13,,8,17
2014/10/14,,7,14
2014/10/15,,6,13
2014/10/16,,5,12
2014/10/17,,4,11
2014/10/18,,2,8
2014/10/19,,2,8
2014/10/20,,2,8
2014/10/21,,2,8
2014/10/22,,2,8
2014/10/23,,3,9
2014/10/24,,3,9
2014/10/25,,2,9
2014/10/26,,2,9
2014/10/27,,2,7
2014/10/28,,2,7
2014/10/29,,2,6
2014/10/30,,2,5
2014/10/31,,2,5
2014/11/01,,2,5
2014/11/02,,2,5
2014/11/03,,2,6
2014/11/04,,2,8
2014/11/05,,2,9
2014/11/06,,2,9
2014/11/07,,2,9
2014/11/08,,2,9
2014/11/09,,2,8
2014/11/10,,2,9
2014/11/11,,2,9
2014/11/12,,1,9
2014/11/13,,1,10
2014/11/14,,1,11
2014/11/15,,1,12
2014/11/16,,1,12
2014/11/17,,1,13
2014/11/18,,1,14
2014/11/19,,1,14
2014/11/20,,1,15
2014/11/21,,2,15
2014/11/22,,1,13
2014/11/23,,1,13
2014/11/24,,1,14
2014/11/25,,1,14
2014/11/26,,1,13
2014/11/27,,2,13
2014/11/28,,2,13
2014/11/29,,2,15
2014/11/30,,2,15
2014/12/01,,2,14
2014/12/02,,2,14
2014/12/03,,2,14
2014/12/04,,1,13
2014/12/05,,1,12
2014/12/06,,1,12
2014/12/07,,1,12
2014/12/08,,1,13
2014/12/09,,1,13
2014/12/10,,2,14
2014/12/11,,2,14
2014/12/12,,2,14
2014/12/13,,2,14
2014/12/14,,2,13
2014/12/15,,2,12
2014/12/16,,2,12
2014/12/17,,2,11
2014/12/18,,2,10
2014/12/19,,2,10
2014/12/20,,2,10
2014/12/21,,2,9
2014/12/22,,2,9
2014/12/23,,2,9
2014/12/24,,2,8
2014/12/25,,2,8
2014/12/26,,2,8
2014/12/27,,1,8
2014/12/28,,1,9
2014/12/29,,1,7
2014/12/30,,1,7
2014/12/31,,1,7
2015/01/01,,1,7
2015/01/02,,1,8
2015/01/03,,2,9
2015/01/04,,2,10
2015/01/05,,3,11
2015/01/06,,3,12
2015/01/07,,3,11
2015/01/08,,3,11
2015/01/09,,2,9
2015/01/10,,2,9
2015/01/11,,2,9
2015/01/12,,2,8
2015/01/13,,2,8
2015/01/14,,2,8
2015/01/15,,3,10
2015/01/16,,3,11
2015/01/17,,3,11
2015/01/18,,4,11
2015/01/19,,4,12
2015/01/20,,4,13
2015/01/21,,4,13
2015/01/22,,4,13
2015/01/23,,4,13
2015/01/24,,4,13
2015/01/25,,4,13
2015/01/26,1,4,13
2015/01/27,1,4,12
2015/01/28,1,4,13
2015/01/29,1,4,13
2015/01/30,1,5,14
2015/01/31,1,5,13
2015/02/01,2,5,13
2015/02/02,2,4,16
2015/02/03,2,5,14
2015/02/04,2,4,15
2015/02/05,2,4,14
2015/02/06,2,4,14
2015/02/07,2,5,15
2015/02/08,2,5,15
2015/02/09,2,5,16
2015/02/10,2,5,17
2015/02/11,2,5,17
2015/02/12,2,5,19
2015/02/13,2,5,19
2015/02/14,2,5,18
2015/02/15,2,4,18
2015/02/16,2,4,17
2015/02/17,1,4,17
2015/02/18,1,4,17
2015/02/19,1,4,15
2015/02/20,1,4,15
2015/02/21,1,4,15
2015/02/22,1,4,16
2015/02/23,1,4,16
2015/02/24,1,4,16
2015/02/25,1,4,17
2015/02/26,1,5,17
2015/02/27,1,5,17
2015/02/28,1,5,17
2015/03/01,1,4,16
2015/03/02,1,4,17
2015/03/03,,4,16
2015/03/04,,4,13
2015/03/05,,3,12
2015/03/06,,3,11
2015/03/07,,3,12
2015/03/08,,3,12
2015/03/09,,2,11
2015/03/10,,2,11
2015/03/11,,2,11
2015/03/12,,2,10
2015/03/13,,2,10
2015/03/14,,2,8
2015/03/15,,2,8
2015/03/16,,2,9
2015/03/17,,2,10
2015/03/18,,2,12
2015/03/19,,2,12
2015/03/20,,2,11
2015/03/21,,2,12
2015/03/22,,2,12
2015/03/23,,2,13
2015/03/24,,2,12
2015/03/25,,2,12
2015/03/26,,2,12
2015/03/27,,1,12
2015/03/28,,1,11
2015/03/29,,,12
2015/03/30,,,11
2015/03/31,,,11
2015/04/01,,,11
2015/04/02,,1,12
2015/04/03,,1,14
2015/04/04,,1,14
2015/04/05,,1,14
2015/04/06,,1,14
2015/04/07,,1,14
2015/04/08,,2,15
2015/04/09,,2,15
2015/04/10,,2,15
2015/04/11,,2,15
2015/04/12,,3,16
2015/04/13,,3,17
2015/04/14,,3,17
2015/04/15,,3,16
2015/04/16,,3,14
2015/04/17,,3,12
2015/04/18,,3,12
2015/04/19,,3,13
2015/04/20,,3,12
2015/04/21,,3,12
2015/04/22,,3,11
2015/04/23,,3,11
2015/04/24,,3,11
2015/04/25,,3,11
2015/04/26,,3,11
2015/04/27,,3,11
2015/04/28,,3,10
2015/04/29,,3,11
2015/04/30,,3,12
2015/05/01,,3,11
2015/05/02,,3,13
2015/05/03,,3,11
2015/05/04,,3,12
2015/05/05,,3,13
2015/05/06,,3,13
2015/05/07,,3,13
2015/05/08,,2,12
2015/05/09,,2,12
2015/05/10,,2,12
2015/05/11,,2,11
2015/05/12,,1,10
2015/05/13,,1,9
2015/05/14,,1,10
2015/05/15,,1,10
2015/05/16,,1,10
2015/05/17,,1,10
2015/05/18,,1,10
2015/05/19,,1,9
2015/05/20,,1,9
2015/05/21,,1,9
2015/05/22,,1,9
2015/05/23,,1,9
2015/05/24,,1,9
2015/05/25,,1,9
2015/05/26,,1,9
2015/05/27,,1,9
2015/05/28,,,8
2015/05/29,,,7
2015/05/30,,,6
2015/05/31,,,6
2015/06/01,,,5
2015/06/02,,,5
2015/06/03,,,4
2015/06/04,,,4
2015/06/05,,,4
2015/06/06,,,4
2015/06/07,,,4
2015/06/08,,,4
2015/06/09,,,3
2015/06/10,,,5
2015/06/11,,,8
2015/06/12,,,8
2015/06/13,,,7
2015/06/14,,,7
2015/06/15,,,7
2015/06/16,,,7
2015/06/17,,,7
2015/06/18,,,7
2015/06/19,,,8
2015/06/20,,,8
2015/06/21,,,9
2015/06/22,,1,11
2015/06/23,,1,10
2015/06/24,,1,11
2015/06/25,,1,11
2015/06/26,,1,11
2015/06/27,,1,12
2015/06/28,,1,12
2015/06/29,,1,12
2015/06/30,,1,12
2015/07/01,,1,12
2015/07/02,,1,12
2015/07/03,,1,13
2015/07/04,,1,13
2015/07/05,,1,13
2015/07/06,,1,13
2015/07/07,,1,13
2015/07/08,,1,12
2015/07/09,,1,12
2015/07/10,,1,10
2015/07/11,,1,9
2015/07/12,,1,9
2015/07/13,,1,9
2015/07/14,,1,9
2015/07/15,,1,9
2015/07/16,,1,11
2015/07/17,,1,11
2015/07/18,,1,11
2015/07/19,,1,10
2015/07/20,,1,10
2015/07/21,,1,9
2015/07/22,,,7
2015/07/23,,,7
2015/07/24,,1,7
2015/07/25,,1,7
2015/07/26,,1,6
2015/07/27,,1,5
2015/07/28,,1,5
2015/07/29,,1,5
2015/07/30,,1,5
2015/07/31,,1,5
2015/08/01,,1,5
2015/08/02,,1,4
2015/08/03,,1,4
2015/08/04,,2,6
2015/08/05,,2,7
2015/08/06,,2,7
2015/08/07,,2,9
2015/08/08,,2,9
2015/08/09,,4,10
2015/08/10,1,4,11
2015/08/11,1,4,11
2015/08/12,1,5,11
2015/08/13,1,6,11
2015/08/14,2,7,12
2015/08/15,2,7,12
2015/08/16,2,7,13
2015/08/17,2,7,13
2015/08/18,2,7,13
2015/08/19,2,7,15
2015/08/20,2,7,17
2015/08/21,2,7,17
2015/08/22,2,7,17
2015/08/23,2,6,17
2015/08/24,2,6,17
2015/08/25,2,6,16
2015/08/26,2,6,17
2015/08/27,2,6,18
2015/08/28,2,6,18
2015/08/29,2,6,19
2015/08/30,2,6,19
2015/08/31,2,6,19
2015/09/01,3,6,19
2015/09/02,3,6,19
2015/09/03,3,7,18
2015/09/04,3,7,18
2015/09/05,3,7,18
2015/09/06,3,6,19
2015/09/07,3,7,21
2015/09/08,3,7,20
